churn,age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,web_user,app_web_user,ios_user,registered_phones,payment_type,cancelled_loan,received_loan,rejected_loan,left_for_two_month_plus,left_for_one_month,reward_rate
1,54.0,O,0.0,0,0,0,0,1,1,1,1,2,Monthly,0,0,0,0,0,2.0
0,39.0,na,611.0,0,0,7,0,0,1,1,1,0,Bi-Weekly,0,0,0,0,0,0.73
0,24.0,na,498.0,0,0,35,0,0,0,0,1,3,Bi-Weekly,0,0,0,1,0,0.83
1,39.0,na,535.0,0,0,0,0,0,0,0,1,0,Bi-Weekly,0,0,0,0,0,2.5
0,29.0,R,601.0,7,2,52,7,0,1,1,0,0,Semi-Monthly,0,0,0,1,0,0.73
0,21.0,na,622.0,0,0,0,0,0,0,0,0,0,Semi-Monthly,0,0,0,0,0,0.5
1,48.0,R,0.0,0,0,0,0,0,1,1,1,0,Bi-Weekly,0,0,0,1,0,1.3
1,32.0,R,525.0,0,0,0,0,0,1,1,0,0,na,0,0,0,0,0,1.37
1,41.0,R,554.0,0,0,0,0,0,1,1,1,2,Bi-Weekly,0,0,0,0,0,0.8
1,42.0,R,550.0,21,3,31,21,0,1,1,1,2,Weekly,0,0,0,0,0,0.8
0,29.0,O,578.0,0,0,0,0,0,1,1,1,0,Weekly,0,1,0,0,0,2.27
0,21.0,na,701.0,0,0,0,0,0,1,1,0,0,na,0,0,0,0,0,0.0
0,25.0,na,0.0,0,0,27,0,0,1,1,0,2,Bi-Weekly,0,0,0,1,0,0.5700000000000001
1,39.0,R,522.0,12,1,8,12,2,1,1,1,0,Weekly,0,0,0,0,0,1.47
0,40.0,R,614.0,3,0,148,3,0,0,0,1,0,Weekly,0,0,0,0,0,2.13
0,22.0,R,652.0,6,1,198,6,0,1,1,0,0,Bi-Weekly,0,0,0,1,0,2.17
0,34.0,na,0.0,0,0,9,0,0,1,1,0,0,Semi-Monthly,0,0,0,0,0,0.13
0,21.0,R,570.0,0,0,5,0,0,1,1,1,0,Bi-Weekly,0,0,0,1,0,0.1
0,52.0,na,509.0,1,1,24,1,0,0,0,1,2,Bi-Weekly,0,0,0,0,0,0.77
0,27.0,R,567.0,0,0,172,0,0,1,1,1,0,Bi-Weekly,0,0,0,0,1,1.4300000000000002
0,52.0,na,0.0,0,0,0,0,0,1,1,0,0,Bi-Weekly,0,0,0,0,0,0.0
1,36.0,na,0.0,0,0,4,0,0,0,0,1,0,Bi-Weekly,0,0,0,1,0,0.13
0,23.0,na,516.0,2,0,15,2,0,0,0,0,3,Monthly,0,0,0,0,0,0.1
1,28.0,R,448.0,8,0,20,8,0,1,1,1,0,Weekly,0,0,0,1,0,0.53
0,57.0,O,624.0,54,0,69,54,0,1,1,1,0,Weekly,0,0,0,0,0,2.1
0,50.0,na,498.0,5,0,71,5,0,0,0,0,2,Bi-Weekly,0,0,0,0,0,1.0
1,29.0,na,476.0,1,1,12,1,0,1,1,1,3,Weekly,0,0,0,1,0,0.06999999999999999
1,37.0,O,556.0,4,0,17,4,0,0,0,1,0,Bi-Weekly,0,1,0,0,0,1.4
1,30.0,R,503.0,16,1,69,16,0,1,1,0,0,na,0,0,0,0,0,1.3
0,22.0,na,535.0,0,0,0,0,0,0,0,1,2,na,0,0,0,0,0,0.0
0,42.0,R,486.0,0,0,42,0,0,1,1,0,0,Weekly,0,0,0,1,0,1.4300000000000002
1,25.0,R,490.0,16,3,23,16,0,0,0,0,0,na,0,0,0,0,0,0.5700000000000001
1,22.0,na,521.0,0,0,0,0,0,1,1,0,0,Bi-Weekly,0,0,0,0,0,1.3
1,48.0,na,0.0,0,0,12,0,0,1,1,0,2,Bi-Weekly,0,0,0,0,0,0.0
0,39.0,na,0.0,0,0,6,0,0,0,0,0,2,na,0,0,0,0,0,1.53
0,43.0,O,552.0,0,0,0,0,0,1,1,0,3,Semi-Monthly,0,0,0,0,0,1.5
0,33.0,O,554.0,49,4,56,49,0,1,1,0,0,Bi-Weekly,0,0,0,0,1,1.9
0,35.0,R,460.0,1,0,70,1,0,1,1,0,2,Bi-Weekly,0,0,0,0,0,2.0
0,26.0,na,0.0,0,0,0,0,0,1,0,0,0,Monthly,0,0,0,1,0,0.0
0,27.0,R,399.0,10,1,93,10,0,1,1,0,0,Weekly,0,0,0,0,0,1.13
1,23.0,R,561.0,1,0,3,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,0,0.0
1,30.0,O,458.0,0,0,0,0,0,1,1,0,2,Semi-Monthly,0,0,0,0,0,2.2
0,19.0,na,632.0,0,0,0,0,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,2.3
1,25.0,O,518.0,2,0,2,2,0,1,1,1,2,Monthly,1,0,0,0,0,0.03
0,25.0,na,0.0,0,0,4,0,0,0,0,1,0,Monthly,0,0,0,0,0,0.0
1,23.0,na,479.0,0,0,0,0,0,0,0,1,2,Weekly,0,0,0,0,0,0.13
1,47.0,R,0.0,0,0,31,0,0,1,1,1,0,Weekly,0,0,0,0,0,0.6
1,43.0,na,552.0,0,0,0,0,0,1,1,0,2,Bi-Weekly,0,0,0,0,0,1.2
0,26.0,na,524.0,6,0,10,6,0,1,1,0,0,Monthly,0,0,0,1,0,0.4
0,24.0,R,654.0,6,0,163,6,0,1,1,0,0,na,0,0,0,1,0,2.23
0,20.0,na,687.0,0,0,5,0,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,0.1
0,22.0,na,579.0,0,0,2,0,0,0,0,1,2,Weekly,0,0,1,1,0,0.0
1,26.0,na,0.0,0,0,10,0,0,1,1,0,2,Bi-Weekly,0,0,0,0,0,0.16999999999999998
0,48.0,R,0.0,42,2,46,42,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,1.5699999999999998
1,26.0,na,531.0,0,0,0,0,0,1,1,1,0,na,0,0,0,0,1,0.33
0,26.0,R,591.0,0,0,0,0,2,1,1,0,0,na,0,0,0,0,0,2.23
0,32.0,R,413.0,10,0,0,10,1,0,0,1,0,Bi-Weekly,0,0,0,0,0,1.63
1,46.0,R,481.0,1,0,2,1,0,0,0,1,0,Weekly,0,0,0,1,0,0.0
1,21.0,na,514.0,0,0,1,0,0,0,0,0,0,na,0,0,0,0,0,0.0
0,30.0,O,548.0,0,0,146,0,0,0,0,1,0,Weekly,0,0,0,1,0,1.23
0,30.0,na,0.0,0,0,0,0,0,0,0,1,0,Semi-Monthly,0,0,0,0,0,0.06999999999999999
0,37.0,na,0.0,0,0,0,0,1,0,0,0,0,Monthly,0,0,0,0,0,2.5
0,36.0,na,431.0,0,0,13,0,0,0,0,1,0,na,0,0,0,0,0,0.2
1,35.0,R,0.0,0,0,0,0,1,1,1,0,0,na,0,0,0,1,1,2.2
1,36.0,R,504.0,0,0,4,0,0,1,1,1,2,Semi-Monthly,0,0,0,0,0,0.9
1,22.0,na,627.0,0,0,17,0,0,0,0,0,2,Bi-Weekly,0,0,0,0,0,0.74
1,42.0,na,470.0,0,0,0,0,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,0.0
1,30.0,na,526.0,4,0,0,4,0,0,0,1,0,Bi-Weekly,0,0,0,0,0,0.33
0,45.0,na,0.0,0,0,0,0,0,1,1,0,0,Bi-Weekly,0,0,0,0,0,1.97
0,26.0,R,573.0,0,0,0,0,0,0,0,0,0,Weekly,0,0,0,0,0,2.0
1,26.0,na,0.0,2,0,7,2,0,0,0,0,0,na,0,0,0,0,0,0.2
0,24.0,R,0.0,0,0,0,0,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,2.5
1,26.0,R,589.0,0,0,0,0,1,0,0,0,0,Semi-Monthly,0,0,0,0,0,1.37
1,31.0,R,528.0,0,0,0,0,0,1,1,0,2,Bi-Weekly,0,0,0,0,0,1.17
0,42.0,na,0.0,1,0,33,1,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,0.73
1,36.0,R,657.0,60,4,120,60,0,1,1,0,0,Monthly,0,0,0,1,0,2.23
0,36.0,R,595.0,10,0,92,10,0,1,1,0,0,Monthly,0,0,0,0,0,1.63
0,45.0,O,574.0,0,0,26,0,0,1,1,0,0,Bi-Weekly,0,0,0,0,0,0.65
0,31.0,O,572.0,11,1,34,11,0,1,1,1,2,Bi-Weekly,0,0,0,0,0,0.8
0,48.0,R,652.0,0,0,0,0,4,1,1,1,0,na,0,0,0,0,0,2.1
1,22.0,na,0.0,0,0,0,0,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,0.0
0,21.0,R,528.0,0,0,46,0,0,0,0,0,0,Bi-Weekly,1,0,0,0,0,1.5699999999999998
1,26.0,na,500.0,1,0,2,1,0,0,0,1,0,Monthly,0,0,0,1,0,0.43
0,35.0,na,534.0,0,0,33,0,0,0,0,1,0,Semi-Monthly,0,0,0,1,0,0.6
0,47.0,O,474.0,10,0,17,10,0,0,0,1,0,Weekly,0,0,0,0,0,0.63
0,36.0,na,505.0,14,1,18,14,0,1,1,1,0,na,0,0,0,0,0,0.85
1,29.0,R,539.0,1,1,12,1,0,1,1,1,3,Bi-Weekly,0,0,0,0,0,0.53
1,41.0,R,491.0,0,0,0,0,0,0,0,1,0,Weekly,0,0,0,0,0,2.77
1,45.0,R,500.0,0,0,46,0,0,1,1,0,0,Weekly,0,0,0,0,0,1.87
1,21.0,na,0.0,0,0,0,0,0,1,0,0,0,Bi-Weekly,1,0,0,0,0,0.0
0,26.0,na,556.0,0,0,7,0,0,1,1,0,0,Weekly,0,0,0,1,0,0.27
1,26.0,R,674.0,0,0,48,0,0,1,1,0,0,Bi-Weekly,0,1,0,1,0,1.37
0,25.0,R,547.0,0,0,12,0,0,0,0,0,0,Weekly,0,0,0,1,0,1.9
0,25.0,na,557.0,35,2,77,35,0,1,1,0,0,Weekly,0,0,0,0,0,1.4300000000000002
1,36.0,na,424.0,0,0,9,0,0,1,1,1,0,Monthly,0,0,0,0,0,0.03
1,30.0,na,504.0,1,0,5,1,0,1,1,1,0,Bi-Weekly,0,0,0,0,0,0.03
0,30.0,R,520.0,0,0,0,0,0,1,1,0,0,Bi-Weekly,0,0,0,0,0,2.07
0,32.0,R,0.0,0,0,8,0,0,0,0,0,0,na,0,0,0,0,0,0.29
1,30.0,R,458.0,5,1,75,5,0,1,1,1,0,Bi-Weekly,0,0,0,0,0,0.7
0,32.0,na,0.0,0,0,111,0,0,0,0,0,0,na,0,0,0,0,0,2.03
0,31.0,na,515.0,0,0,4,0,0,0,0,0,0,Bi-Weekly,0,0,0,0,0,0.33
0,30.0,O,0.0,0,0,0,0,0,0,0,0,0,Weekly,0,0,0,0,0,1.47
0,43.0,R,610.0,0,0,0,0,2,1,1,1,0,Semi-Monthly,1,0,0,0,0,0.73
0,36.0,R,435.0,49,0,56,49,0,1,1,1,2,Bi-Weekly,0,0,0,1,0,1.87
0,25.0,O,0.0,0,0,0,0,0,1,1,0,0,na,0,0,0,0,0,0.63
