churn,age,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,web_user,app_web_user,ios_user,registered_phones,cancelled_loan,received_loan,rejected_loan,left_for_two_month_plus,left_for_one_month,reward_rate,housing_O,housing_R,housing_na,payment_type_Bi-Weekly,payment_type_Monthly,payment_type_Semi-Monthly,payment_type_Weekly,payment_type_na
1,23.0,452.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.7,0,0,1,1,0,0,0,0
1,22.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,1,0,0
0,48.0,511.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.87,0,0,1,0,1,0,0,0
1,35.0,728.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,0,0,0,1,0,0,0
0,46.0,494.0,7,2,57,7,0,1,1,0,0,0,0,0,1,0,1.1,0,1,0,1,0,0,0,0
0,34.0,490.0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2.1,0,1,0,1,0,0,0,0
0,23.0,521.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,1,1,0,0,0,0
0,28.0,582.0,17,1,82,17,0,1,1,0,0,0,0,0,0,0,1.93,0,1,0,0,0,0,0,1
1,29.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5700000000000001,0,0,1,0,0,0,1,0
0,43.0,540.0,3,0,81,3,0,1,1,1,2,0,0,0,0,0,1.97,0,1,0,0,0,0,0,1
0,44.0,501.0,0,0,4,0,0,1,1,1,0,0,0,0,0,0,0.1,0,0,1,1,0,0,0,0
0,33.0,597.0,0,0,140,0,0,1,1,0,0,0,0,0,1,0,2.23,0,1,0,1,0,0,0,0
0,18.0,611.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0
1,22.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,0,0
1,60.0,529.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.63,0,1,0,0,1,0,0,0
0,39.0,529.0,24,1,69,24,0,1,1,0,0,0,0,0,0,0,1.87,0,0,1,0,0,0,0,1
1,35.0,618.0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0.63,0,0,1,1,0,0,0,0
0,43.0,0.0,2,1,10,2,0,1,1,1,0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0
0,32.0,466.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,1
0,26.0,536.0,0,0,36,0,0,1,1,0,0,0,0,0,0,0,1.23,0,0,1,0,0,0,0,1
1,26.0,500.0,1,0,27,1,0,0,0,0,3,0,0,0,0,0,1.33,0,1,0,0,0,0,1,0
0,24.0,679.0,3,1,82,3,0,0,0,0,0,0,0,0,0,0,1.87,0,1,0,1,0,0,0,0
1,31.0,0.0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1.17,0,1,0,1,0,0,0,0
1,25.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0
1,38.0,524.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0,0,1,1,0,0,0,0
0,32.0,0.0,3,0,7,3,0,1,1,1,0,0,0,0,0,0,0.5700000000000001,0,0,1,1,0,0,0,0
0,33.0,0.0,0,0,128,0,0,1,1,0,0,0,0,0,1,0,1.97,0,0,1,1,0,0,0,0
0,32.0,500.0,24,6,36,24,0,1,1,1,2,0,0,0,0,0,0.97,0,1,0,1,0,0,0,0
0,47.0,522.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,1,1,0,0,0,0
0,26.0,556.0,1,0,56,1,0,0,0,0,2,0,0,0,0,0,1.8,0,1,0,0,0,0,0,1
1,26.0,0.0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,0
0,26.0,559.0,0,0,31,0,0,0,0,1,2,0,0,0,0,0,0.67,0,0,1,1,0,0,0,0
0,33.0,556.0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,1,1,0,0,0,0
1,35.0,413.0,0,0,102,0,0,1,1,1,0,0,0,0,0,0,1.17,0,0,1,1,0,0,0,0
1,22.0,459.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0
1,27.0,528.0,0,0,10,0,0,1,1,0,0,0,0,0,0,0,0.8,0,1,0,1,0,0,0,0
0,27.0,544.0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,1,1,0,0,0,0
0,24.0,522.0,2,2,50,2,0,0,0,0,0,0,0,0,0,0,1.03,0,1,0,0,0,0,0,1
0,21.0,545.0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,1,0,0,0
0,25.0,485.0,2,0,22,2,0,1,1,0,2,0,0,0,1,0,0.27,0,1,0,1,0,0,0,0
1,26.0,545.0,10,1,14,10,0,0,0,0,0,0,0,0,0,0,0.4,0,1,0,0,0,0,0,1
0,27.0,481.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.1,0,1,0,0,0,0,1,0
0,42.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0
0,22.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0
1,22.0,440.0,9,2,107,9,0,1,1,0,0,0,0,0,0,0,1.3,0,1,0,1,0,0,0,0
1,36.0,0.0,0,0,0,0,2,1,1,1,2,0,0,0,0,0,0.7,0,0,1,0,0,0,1,0
0,52.0,543.0,0,0,40,0,0,1,1,1,0,0,0,0,0,0,0.93,0,0,1,0,0,1,0,0
1,27.0,0.0,0,0,12,0,0,1,1,1,0,0,0,0,1,0,0.4400000000000001,0,0,1,0,0,0,1,0
0,25.0,413.0,0,0,25,0,0,1,1,0,0,0,0,0,0,0,0.4,0,0,1,0,0,0,0,1
0,32.0,441.0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0.37,0,0,1,1,0,0,0,0
0,30.0,461.0,41,0,27,41,0,1,1,0,0,0,0,0,0,0,1.87,0,0,1,0,0,0,1,0
1,23.0,636.0,6,4,59,6,0,1,1,0,2,0,0,0,0,0,1.86,0,1,0,1,0,0,0,0
0,26.0,607.0,5,1,93,5,0,0,0,0,0,0,0,0,0,0,2.17,0,1,0,0,0,0,0,1
1,29.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,1,0,0,0,0,1,0
0,36.0,0.0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0.4,0,0,1,0,0,0,0,1
1,26.0,545.0,3,0,38,3,0,0,0,0,0,0,0,0,0,0,1.0,0,1,0,0,0,0,0,1
0,20.0,555.0,1,0,72,1,0,1,1,0,0,0,0,0,0,0,1.03,0,1,0,1,0,0,0,0
0,32.0,545.0,6,0,24,6,0,1,1,0,0,0,0,0,0,0,0.58,0,0,1,0,0,0,0,1
1,45.0,552.0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0.1,0,1,0,1,0,0,0,0
0,25.0,614.0,0,0,67,0,0,1,1,0,0,0,0,0,1,0,2.03,1,0,0,1,0,0,0,0
0,35.0,528.0,15,0,3,15,1,1,1,0,0,0,0,0,0,0,2.17,0,1,0,1,0,0,0,0
0,28.0,0.0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,1.83,1,0,0,0,0,1,0,0
1,22.0,555.0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,1.5699999999999998,0,0,1,1,0,0,0,0
0,28.0,527.0,59,0,63,55,0,1,1,0,0,0,0,0,0,0,2.23,0,0,1,1,0,0,0,0
0,20.0,501.0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,1,0,0,1,0,0
1,30.0,580.0,0,0,34,0,0,0,0,0,2,0,0,0,0,0,0.63,0,1,0,0,0,0,1,0
0,40.0,453.0,8,0,52,8,0,1,1,1,0,0,0,0,1,0,2.23,1,0,0,0,0,0,0,1
0,31.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1,0,0,1,0,0,0,0
1,27.0,522.0,1,0,13,1,0,0,0,0,0,0,0,0,0,0,0.16999999999999998,1,0,0,1,0,0,0,0
1,36.0,587.0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,2.13,0,1,0,1,0,0,0,0
0,36.0,590.0,0,0,8,0,0,1,1,1,2,0,0,0,0,0,0.13,0,1,0,1,0,0,0,0
1,30.0,437.0,2,0,62,2,0,1,1,1,0,0,0,0,0,0,0.63,0,1,0,1,0,0,0,0
0,42.0,512.0,2,0,47,2,0,1,1,1,2,0,0,0,1,0,1.87,0,1,0,0,0,0,0,1
0,72.0,554.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,0,0
1,23.0,463.0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0.4,0,0,1,1,0,0,0,0
1,39.0,463.0,8,3,76,8,0,0,0,1,0,0,0,0,0,0,0.53,0,1,0,0,0,0,1,0
1,38.0,472.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.77,0,1,0,0,1,0,0,0
1,38.0,550.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5700000000000001,0,0,1,1,0,0,0,0
0,37.0,587.0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,2.1,0,1,0,1,0,0,0,0
1,26.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.47,0,0,1,1,0,0,0,0
0,20.0,655.0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,1,1,0,0,0,0
1,56.0,511.0,1,0,37,1,0,1,1,1,2,0,0,0,1,0,0.53,0,0,1,0,0,0,1,0
1,29.0,0.0,11,2,99,11,0,1,1,1,2,0,0,0,0,0,1.03,0,0,1,0,0,0,0,1
0,19.0,503.0,1,0,102,1,0,1,1,1,5,0,0,0,0,0,1.93,0,1,0,0,0,0,0,1
1,48.0,517.0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0.0,0,0,1,0,0,0,1,0
1,39.0,490.0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0.47,0,0,1,1,0,0,0,0
1,54.0,0.0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,2.0,1,0,0,0,1,0,0,0
0,39.0,611.0,0,0,7,0,0,1,1,1,0,0,0,0,0,0,0.73,0,0,1,1,0,0,0,0
0,24.0,498.0,0,0,35,0,0,0,0,1,3,0,0,0,1,0,0.83,0,0,1,1,0,0,0,0
1,39.0,535.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.5,0,0,1,1,0,0,0,0
0,29.0,601.0,7,2,52,7,0,1,1,0,0,0,0,0,1,0,0.73,0,1,0,0,0,1,0,0
0,21.0,622.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,1,0,0
1,48.0,0.0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1.3,0,1,0,1,0,0,0,0
1,32.0,525.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.37,0,1,0,0,0,0,0,1
1,41.0,554.0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0.8,0,1,0,1,0,0,0,0
1,42.0,550.0,21,3,31,21,0,1,1,1,2,0,0,0,0,0,0.8,0,1,0,0,0,0,1,0
0,29.0,578.0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,2.27,1,0,0,0,0,0,1,0
0,21.0,701.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,1
0,25.0,0.0,0,0,27,0,0,1,1,0,2,0,0,0,1,0,0.5700000000000001,0,0,1,1,0,0,0,0
1,39.0,522.0,12,1,8,12,2,1,1,1,0,0,0,0,0,0,1.47,0,1,0,0,0,0,1,0
0,40.0,614.0,3,0,148,3,0,0,0,1,0,0,0,0,0,0,2.13,0,1,0,0,0,0,1,0
0,22.0,652.0,6,1,198,6,0,1,1,0,0,0,0,0,1,0,2.17,0,1,0,1,0,0,0,0
0,34.0,0.0,0,0,9,0,0,1,1,0,0,0,0,0,0,0,0.13,0,0,1,0,0,1,0,0
0,21.0,570.0,0,0,5,0,0,1,1,1,0,0,0,0,1,0,0.1,0,1,0,1,0,0,0,0
0,52.0,509.0,1,1,24,1,0,0,0,1,2,0,0,0,0,0,0.77,0,0,1,1,0,0,0,0
0,27.0,567.0,0,0,172,0,0,1,1,1,0,0,0,0,0,1,1.4300000000000002,0,1,0,1,0,0,0,0
0,52.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0
1,36.0,0.0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0.13,0,0,1,1,0,0,0,0
0,23.0,516.0,2,0,15,2,0,0,0,0,3,0,0,0,0,0,0.1,0,0,1,0,1,0,0,0
1,28.0,448.0,8,0,20,8,0,1,1,1,0,0,0,0,1,0,0.53,0,1,0,0,0,0,1,0
0,57.0,624.0,54,0,69,54,0,1,1,1,0,0,0,0,0,0,2.1,1,0,0,0,0,0,1,0
0,50.0,498.0,5,0,71,5,0,0,0,0,2,0,0,0,0,0,1.0,0,0,1,1,0,0,0,0
1,29.0,476.0,1,1,12,1,0,1,1,1,3,0,0,0,1,0,0.06999999999999999,0,0,1,0,0,0,1,0
1,37.0,556.0,4,0,17,4,0,0,0,1,0,0,1,0,0,0,1.4,1,0,0,1,0,0,0,0
1,30.0,503.0,16,1,69,16,0,1,1,0,0,0,0,0,0,0,1.3,0,1,0,0,0,0,0,1
0,22.0,535.0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0.0,0,0,1,0,0,0,0,1
0,42.0,486.0,0,0,42,0,0,1,1,0,0,0,0,0,1,0,1.4300000000000002,0,1,0,0,0,0,1,0
1,25.0,490.0,16,3,23,16,0,0,0,0,0,0,0,0,0,0,0.5700000000000001,0,1,0,0,0,0,0,1
1,22.0,521.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.3,0,0,1,1,0,0,0,0
1,48.0,0.0,0,0,12,0,0,1,1,0,2,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0
0,39.0,0.0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,1.53,0,0,1,0,0,0,0,1
0,43.0,552.0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,1.5,1,0,0,0,0,1,0,0
0,33.0,554.0,49,4,56,49,0,1,1,0,0,0,0,0,0,1,1.9,1,0,0,1,0,0,0,0
0,35.0,460.0,1,0,70,1,0,1,1,0,2,0,0,0,0,0,2.0,0,1,0,1,0,0,0,0
0,26.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0,0,1,0,1,0,0,0
0,27.0,399.0,10,1,93,10,0,1,1,0,0,0,0,0,0,0,1.13,0,1,0,0,0,0,1,0
1,23.0,561.0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0
1,30.0,458.0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,2.2,1,0,0,0,0,1,0,0
0,19.0,632.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,1,1,0,0,0,0
1,25.0,518.0,2,0,2,2,0,1,1,1,2,1,0,0,0,0,0.03,1,0,0,0,1,0,0,0
0,25.0,0.0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,1,0,1,0,0,0
1,23.0,479.0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0.13,0,0,1,0,0,0,1,0
1,47.0,0.0,0,0,31,0,0,1,1,1,0,0,0,0,0,0,0.6,0,1,0,0,0,0,1,0
1,43.0,552.0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1.2,0,0,1,1,0,0,0,0
0,26.0,524.0,6,0,10,6,0,1,1,0,0,0,0,0,1,0,0.4,0,0,1,0,1,0,0,0
0,24.0,654.0,6,0,163,6,0,1,1,0,0,0,0,0,1,0,2.23,0,1,0,0,0,0,0,1
0,20.0,687.0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1,1,0,0,0,0
0,22.0,579.0,0,0,2,0,0,0,0,1,2,0,0,1,1,0,0.0,0,0,1,0,0,0,1,0
1,26.0,0.0,0,0,10,0,0,1,1,0,2,0,0,0,0,0,0.16999999999999998,0,0,1,1,0,0,0,0
0,48.0,0.0,42,2,46,42,0,0,0,0,0,0,0,0,0,0,1.5699999999999998,0,1,0,1,0,0,0,0
1,26.0,531.0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0.33,0,0,1,0,0,0,0,1
0,26.0,591.0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2.23,0,1,0,0,0,0,0,1
0,32.0,413.0,10,0,0,10,1,0,0,1,0,0,0,0,0,0,1.63,0,1,0,1,0,0,0,0
1,46.0,481.0,1,0,2,1,0,0,0,1,0,0,0,0,1,0,0.0,0,1,0,0,0,0,1,0
1,21.0,514.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,1
0,30.0,548.0,0,0,146,0,0,0,0,1,0,0,0,0,1,0,1.23,1,0,0,0,0,0,1,0
0,30.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06999999999999999,0,0,1,0,0,1,0,0
0,37.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.5,0,0,1,0,1,0,0,0
0,36.0,431.0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0.2,0,0,1,0,0,0,0,1
1,35.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,2.2,0,1,0,0,0,0,0,1
1,36.0,504.0,0,0,4,0,0,1,1,1,2,0,0,0,0,0,0.9,0,1,0,0,0,1,0,0
1,22.0,627.0,0,0,17,0,0,0,0,0,2,0,0,0,0,0,0.74,0,0,1,1,0,0,0,0
1,42.0,470.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0
1,30.0,526.0,4,0,0,4,0,0,0,1,0,0,0,0,0,0,0.33,0,0,1,1,0,0,0,0
0,45.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.97,0,0,1,1,0,0,0,0
