age,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,web_user,app_web_user,ios_user,registered_phones,cancelled_loan,received_loan,rejected_loan,left_for_two_month_plus,left_for_one_month,reward_rate,housing_O,housing_R,payment_type_Bi-Weekly,payment_type_Monthly,payment_type_Semi-Monthly,payment_type_Weekly
36.0,0.0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0
20.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.63,0,0,0,0,0,1
40.0,506.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1,0,0,0
22.0,559.0,14,0,29,14,0,1,1,0,5,0,0,0,0,0,0.67,0,1,1,0,0,0
37.0,528.0,3,1,6,3,0,1,1,1,0,0,0,0,0,0,1.93,0,1,0,0,0,1
31.0,548.0,0,0,54,0,0,1,1,0,0,0,0,0,0,0,1.3,0,0,0,0,0,1
34.0,527.0,0,0,46,0,0,1,1,1,0,0,0,0,0,0,0.77,0,1,0,0,0,1
25.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,1,1,0,0,0
25.0,0.0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
41.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0.2,0,0,0,1,0,0
25.0,0.0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0.67,0,1,1,0,0,0
27.0,627.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1.77,0,1,0,1,0,0
33.0,450.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2.27,0,1,0,0,0,1
33.0,470.0,3,0,5,2,0,0,0,1,0,0,0,0,0,0,0.2,0,1,0,1,0,0
27.0,486.0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,1.97,0,1,0,0,0,1
46.0,548.0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,1,0
29.0,471.0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0.2,0,1,0,0,1,0
40.0,545.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2.5,0,0,0,0,1,0
23.0,551.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0
24.0,525.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,1,0
29.0,608.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1.93,0,1,0,0,0,1
21.0,626.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.0,0,0,1,0,0,0
26.0,564.0,1,1,3,1,0,1,1,0,0,0,0,0,1,0,0.33,0,0,1,0,0,0
32.0,516.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.06999999999999999,0,0,1,0,0,0
47.0,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.0,0,0,1,0,0,0
31.0,620.0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1.83,0,1,1,0,0,0
77.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0
45.0,622.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.37,0,0,1,0,0,0
27.0,544.0,1,1,64,1,0,1,1,1,0,0,0,0,0,0,1.3,0,1,0,0,0,1
41.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.33,0,1,0,0,0,0
34.0,499.0,9,2,74,9,0,1,1,1,0,0,0,0,0,0,1.1,0,1,0,0,0,0
25.0,0.0,0,0,4,0,0,1,1,0,2,0,0,0,0,0,0.0,0,0,1,0,0,0
46.0,538.0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1.03,0,1,0,0,0,0
19.0,696.0,0,0,59,0,0,1,1,1,2,0,0,0,1,0,3.0,0,1,0,0,0,0
29.0,580.0,3,1,123,3,0,0,0,0,0,0,0,0,1,0,1.93,0,1,1,0,0,0
42.0,570.0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1.93,0,0,1,0,0,0
40.0,461.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0,1,0,0,0
24.0,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.06999999999999999,0,0,0,1,0,0
24.0,387.0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0.47,0,1,1,0,0,0
23.0,526.0,4,2,30,4,0,0,0,0,0,0,0,0,0,0,0.53,0,1,1,0,0,0
33.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.4,0,1,1,0,0,0
28.0,429.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
33.0,0.0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0.0,0,0,1,0,0,0
19.0,664.0,1,0,16,0,0,1,1,1,0,1,0,0,0,0,0.79,0,1,0,0,0,0
22.0,553.0,3,0,1,3,0,1,1,0,2,0,0,0,1,0,0.67,0,1,1,0,0,0
26.0,0.0,0,0,5,0,0,1,1,1,0,0,0,0,0,0,0.3,0,0,0,0,0,1
27.0,545.0,2,0,30,2,0,1,1,0,2,0,0,0,1,0,1.3,0,1,1,0,0,0
25.0,461.0,2,0,73,2,0,1,1,0,0,0,0,0,1,0,1.0,0,1,1,0,0,0
62.0,583.0,15,0,0,14,0,1,1,0,2,0,0,0,1,0,2.2,0,0,1,0,0,0
30.0,604.0,1,1,48,1,0,1,1,0,0,0,0,0,0,0,1.77,1,0,1,0,0,0
24.0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,1,0,0,0
26.0,516.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0,0,1,0,0,0
46.0,529.0,2,0,16,2,0,1,1,1,0,0,0,0,1,0,0.9,0,0,0,0,1,0
36.0,0.0,0,0,18,0,0,0,0,1,0,0,0,0,1,0,0.3,0,1,1,0,0,0
38.0,514.0,0,0,10,0,0,1,1,0,0,0,0,0,0,0,0.5700000000000001,0,0,0,0,0,1
40.0,0.0,0,0,3,0,0,1,1,0,0,0,0,1,0,0,0.0,0,0,0,0,0,1
35.0,468.0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1.7,0,1,1,0,0,0
42.0,536.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2.27,1,0,0,0,0,0
37.0,591.0,0,0,5,0,0,1,1,1,0,0,1,0,0,0,2.1,0,1,0,0,0,0
37.0,390.0,16,3,40,15,0,1,1,1,2,0,0,0,0,0,0.6,0,1,0,0,0,1
42.0,0.0,0,0,27,0,0,1,1,1,0,0,0,0,0,0,0.5,0,0,1,0,0,0
26.0,503.0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0.37,0,1,1,0,0,0
20.0,563.0,3,0,17,3,0,0,0,0,0,0,0,0,0,0,0.73,0,1,1,0,0,0
33.0,598.0,2,0,33,2,0,1,1,0,0,0,0,0,0,0,0.53,0,1,0,0,0,0
32.0,0.0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0.27,0,1,0,0,0,1
24.0,511.0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,1,0,0,0
20.0,555.0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0.4,0,0,0,0,0,1
35.0,574.0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,1.5,0,0,1,0,0,0
36.0,528.0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,1.47,1,0,0,0,0,0
44.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1
34.0,523.0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1.17,0,1,1,0,0,0
27.0,573.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1.5,0,0,1,0,0,0
31.0,538.0,0,0,68,0,0,1,1,1,2,0,0,0,1,0,1.0,0,0,1,0,0,0
22.0,600.0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0.03,0,0,1,0,0,0
25.0,465.0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,2.17,0,0,1,0,0,0
47.0,529.0,2,3,3,2,0,0,0,1,0,0,0,0,1,0,0.1,0,1,1,0,0,0
35.0,613.0,1,0,8,0,0,1,1,0,0,0,0,0,0,0,0.73,1,0,0,0,0,1
31.0,558.0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1.13,0,1,1,0,0,0
27.0,534.0,0,0,52,0,0,1,1,0,0,0,0,0,0,0,1.27,0,1,1,0,0,0
52.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
34.0,0.0,0,0,5,0,0,0,0,1,2,0,0,0,0,0,0.5,0,0,0,0,1,0
33.0,538.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.8,0,1,1,0,0,0
21.0,462.0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1.9,1,0,0,0,0,1
27.0,492.0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,1.73,0,1,1,0,0,0
21.0,492.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0699999999999998,0,1,1,0,0,0
26.0,575.0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1.47,0,1,1,0,0,0
19.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,1,0,0,0
32.0,505.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.5,0,1,1,0,0,0
32.0,553.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06999999999999999,0,0,0,0,0,1
31.0,519.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,1,0,0,0
33.0,514.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0.1,1,0,0,1,0,0
30.0,600.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.6,0,1,0,0,1,0
31.0,573.0,4,0,6,4,0,0,0,0,0,0,0,0,0,0,0.43,1,0,1,0,0,0
21.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.33,0,0,1,0,0,0
32.0,505.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0,0,1,0,0,0
48.0,0.0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1.2,0,0,0,0,0,0
46.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.06999999999999999,0,0,0,0,0,1
25.0,496.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.73,0,0,0,0,0,1
41.0,0.0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0.2,0,0,0,0,1,0
31.0,0.0,0,0,7,0,0,1,1,1,0,0,0,0,1,0,0.03,0,1,1,0,0,0
23.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1
26.0,0.0,0,0,18,0,0,1,1,0,0,0,0,0,0,0,1.47,0,1,1,0,0,0
18.0,0.0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0.33,0,1,0,0,0,1
30.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,1,0
27.0,528.0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0.77,0,0,1,0,0,0
29.0,0.0,4,0,125,4,0,1,1,1,0,0,0,0,0,0,1.23,1,0,0,0,0,0
23.0,515.0,4,4,6,4,0,0,0,1,2,0,0,0,0,0,0.06999999999999999,0,1,1,0,0,0
26.0,0.0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0.7,0,0,1,0,0,0
45.0,580.0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1.2,0,1,1,0,0,0
25.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,1,0,0,0
25.0,574.0,0,0,17,0,0,1,1,0,0,0,0,0,0,0,0.5700000000000001,1,0,0,0,0,0
39.0,467.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.87,0,0,1,0,0,0
34.0,582.0,0,0,9,0,0,1,1,1,0,0,0,0,1,0,0.06999999999999999,1,0,0,0,0,1
40.0,569.0,0,0,0,0,1,1,1,1,3,0,0,0,0,0,1.13,0,1,1,0,0,0
31.0,524.0,2,0,56,2,0,0,0,0,0,0,0,0,1,0,1.33,0,0,0,0,0,1
49.0,0.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0.0,0,1,1,0,0,0
26.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5700000000000001,0,0,0,0,0,0
25.0,529.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.73,0,1,1,0,0,0
38.0,539.0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0.43,0,1,1,0,0,0
28.0,471.0,7,0,17,7,0,0,0,0,0,0,0,0,0,0,0.37,0,0,1,0,0,0
36.0,582.0,5,1,74,5,0,1,1,1,2,0,0,0,1,0,0.47,1,0,0,1,0,0
25.0,0.0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,1,0,0,0
55.0,549.0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0.0,0,0,1,0,0,0
19.0,525.0,0,0,32,0,0,1,1,0,0,0,0,0,0,1,1.3,0,1,0,0,0,1
23.0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.16999999999999998,0,0,1,0,0,0
26.0,489.0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0.97,0,1,1,0,0,0
19.0,0.0,0,0,1,0,0,1,1,1,2,0,0,0,1,0,0.0,0,0,0,1,0,0
60.0,505.0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1.5,0,0,0,0,0,1
31.0,543.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.2,0,1,0,0,0,0
20.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0
23.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06999999999999999,0,0,0,0,0,1
22.0,0.0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,1
24.0,466.0,1,1,4,1,0,1,1,1,0,0,0,0,0,0,0.03,0,0,0,0,1,0
26.0,507.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.53,0,1,1,0,0,0
27.0,302.0,0,0,62,0,0,1,1,1,0,0,0,0,0,0,1.37,0,0,1,0,0,0
25.0,565.0,0,0,9,0,0,1,1,0,4,0,1,0,1,0,1.5699999999999998,0,1,0,0,0,0
21.0,521.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.53,0,1,0,0,0,1
43.0,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.2,0,1,0,1,0,0
53.0,496.0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0.93,0,1,0,0,1,0
29.0,0.0,3,0,15,3,0,1,1,0,0,0,1,0,0,0,1.35,0,0,0,0,0,1
34.0,514.0,3,0,10,3,0,1,1,0,0,0,0,0,1,0,0.16999999999999998,0,0,1,0,0,0
43.0,580.0,0,0,14,0,0,1,1,1,0,0,0,0,1,0,1.8,0,1,1,0,0,0
20.0,0.0,0,0,10,0,0,1,1,0,0,0,0,0,1,0,0.67,0,1,1,0,0,0
23.0,550.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.5699999999999998,0,1,0,0,0,1
21.0,0.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,0,0,1,0,0,0
18.0,0.0,0,0,17,0,0,1,1,1,2,0,0,0,0,0,0.31,0,0,1,0,0,0
28.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,1,0,0,0
28.0,561.0,0,0,26,0,0,1,1,0,3,0,0,0,0,0,1.0,1,0,0,0,0,0
46.0,555.0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0.97,1,0,0,1,0,0
29.0,501.0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0.87,0,1,0,0,1,0
28.0,582.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1.77,1,0,1,0,0,0
32.0,530.0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,1.5699999999999998,0,1,0,0,0,1
19.0,621.0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0.67,0,0,0,0,0,1
17.0,0.0,0,0,6,0,0,1,1,0,2,0,0,0,0,0,0.05,0,0,1,0,0,0
47.0,532.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2.57,0,1,0,0,0,1
26.0,554.0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1.03,0,1,0,0,0,1
41.0,550.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.4300000000000002,0,1,0,0,1,0
25.0,532.0,1,0,48,1,0,1,1,0,0,0,0,0,0,0,0.83,0,1,1,0,0,0
28.0,509.0,2,0,4,2,1,0,0,1,0,0,0,0,0,0,0.9,1,0,0,1,0,0
42.0,532.0,0,0,22,0,0,1,1,1,0,0,0,0,1,0,0.2,0,0,1,0,0,0
30.0,614.0,8,3,31,8,0,1,1,1,0,0,0,0,1,0,0.3,0,0,1,0,0,0
28.0,520.0,0,0,64,0,0,1,1,1,2,0,0,0,0,0,1.8,0,1,1,0,0,0
18.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1,0,0,0
29.0,0.0,2,0,17,2,0,1,1,0,0,0,0,0,0,0,0.73,1,0,1,0,0,0
39.0,540.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.67,0,0,1,0,0,0
28.0,453.0,0,0,34,0,0,0,0,1,2,0,0,0,1,0,0.23,0,1,1,0,0,0
39.0,473.0,3,0,32,3,0,1,1,1,2,0,0,0,0,0,0.33,0,0,0,0,0,0
36.0,816.0,2,0,27,2,0,1,1,0,0,0,0,0,0,0,1.2,0,1,1,0,0,0
20.0,523.0,0,0,25,0,0,1,1,1,2,0,0,0,0,0,0.13,0,1,0,0,0,0
22.0,606.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.97,0,0,0,0,0,1
40.0,520.0,1,0,14,1,0,1,1,1,2,0,0,0,0,0,0.2,0,0,0,1,0,0
28.0,531.0,8,3,15,8,0,0,0,0,0,0,0,0,0,0,0.77,0,1,0,0,1,0
31.0,480.0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0.16999999999999998,0,0,1,0,0,0
39.0,553.0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1.4,0,0,0,0,0,1
21.0,508.0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0.27,0,0,1,0,0,0
32.0,488.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1
40.0,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.06999999999999999,0,0,1,0,0,0
23.0,0.0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0.0,0,1,0,1,0,0
43.0,0.0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,1
32.0,526.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2.1,0,0,0,0,0,1
21.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
51.0,0.0,0,0,65,0,0,1,1,1,0,0,0,0,0,0,0.9,0,1,0,1,0,0
29.0,461.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0
23.0,516.0,2,1,41,2,0,0,0,1,0,0,0,0,0,0,0.63,0,1,0,1,0,0
28.0,502.0,14,5,15,14,0,1,1,1,2,0,0,0,0,0,0.33,0,1,0,0,1,0
29.0,558.0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0.0,0,0,0,0,0,1
49.0,601.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,1,0,0,0,1
32.0,588.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.03,1,0,1,0,0,0
30.0,521.0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,2.03,0,1,1,0,0,0
37.0,542.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2.07,0,1,1,0,0,0
42.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0,0,1,0,0,0
32.0,491.0,2,0,38,2,0,0,0,0,0,0,0,0,0,0,0.73,0,0,1,0,0,0
26.0,580.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1.77,0,0,1,0,0,0
28.0,562.0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1.77,0,1,0,0,0,0
20.0,542.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5700000000000001,0,1,1,0,0,0
25.0,533.0,0,0,8,0,0,1,1,1,0,0,0,0,0,0,0.16999999999999998,0,0,1,0,0,0
29.0,485.0,11,0,46,11,0,0,0,0,0,0,0,0,0,0,0.87,0,1,0,0,0,0
31.0,0.0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0.3,0,0,0,0,0,1
31.0,576.0,2,1,99,2,0,1,1,1,2,0,0,0,1,0,1.3,0,0,0,0,0,1
58.0,0.0,1,1,13,1,0,1,1,0,0,0,0,0,0,0,0.03,0,0,1,0,0,0
25.0,408.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,1,0,0,1,0
18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
21.0,0.0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0
29.0,420.0,0,0,11,0,0,1,1,0,0,0,0,0,0,0,0.37,0,1,1,0,0,0
45.0,592.0,0,0,0,0,2,1,1,1,0,0,0,0,0,1,1.0699999999999998,1,0,1,0,0,0
48.0,542.0,4,0,19,4,0,0,0,0,0,0,0,0,1,0,0.47,0,0,0,0,0,1
25.0,464.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.0,0,1,0,0,0,1
26.0,479.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1,1,0,0,0
34.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0,1,1,0,0,0
32.0,538.0,0,0,28,0,0,1,1,0,0,0,0,0,0,0,1.63,0,0,0,0,0,1
20.0,573.0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0
35.0,537.0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0.63,1,0,1,0,0,0
25.0,529.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,1,0,0
23.0,544.0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,1,0,0
26.0,571.0,23,2,34,23,0,0,0,0,0,0,0,0,0,0,0.67,0,1,0,1,0,0
46.0,416.0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,1,0,0,0
30.0,0.0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0.4400000000000001,0,1,1,0,0,0
23.0,0.0,0,0,47,0,0,0,0,1,0,0,0,0,0,0,1.1,0,0,0,1,0,0
24.0,572.0,9,0,65,8,0,1,1,0,2,0,0,0,0,0,1.97,0,1,1,0,0,0
26.0,552.0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,1
28.0,533.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,1,0,0,0
42.0,538.0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0.0,0,1,0,0,0,0
30.0,373.0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0.06999999999999999,0,0,1,0,0,0
24.0,602.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,1
30.0,692.0,0,0,87,0,0,1,1,1,0,1,0,0,0,0,1.83,0,1,0,0,0,0
30.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0
27.0,495.0,0,0,114,0,0,1,1,1,3,0,0,0,0,0,0.77,0,1,0,0,0,1
31.0,596.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0.0,0,0,1,0,0,0
22.0,431.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.27,0,0,0,0,0,1
39.0,578.0,0,0,13,0,0,1,1,0,3,0,1,0,0,0,1.1,0,1,0,1,0,0
45.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1
24.0,529.0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,1,0,0,0
32.0,519.0,4,0,7,4,0,0,0,1,0,0,0,0,0,0,0.27,0,0,1,0,0,0
33.0,0.0,1,0,17,1,0,1,1,1,0,0,0,0,0,0,1.77,0,0,0,0,0,1
45.0,0.0,20,1,28,20,0,1,1,1,0,0,0,0,0,0,0.77,0,1,0,0,0,0
28.0,520.0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0.23,0,0,0,0,0,1
31.0,509.0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0.77,0,1,1,0,0,0
27.0,591.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,1,0
30.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0,0,1,0,0,0
26.0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1.87,0,0,1,0,0,0
33.0,517.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.67,0,1,0,0,0,0
37.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.23,0,0,0,1,0,0
26.0,572.0,0,0,18,0,0,1,1,0,2,0,0,0,1,0,0.3,0,1,0,0,0,1
53.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0,0,1,0,0,0
